mvir,mvir_p,mvir_m,cvir,cvir_p,cvir_m,methods,z,cl,refs
5.33,0.77,-0.77,6.28,0.53,-0.53,X-ray,0.0569,Abell 133,VI06.1
73.0275,8.135,-8.135,1.775,0.46,-0.46,X-ray,0.058,Abell 2256,BA14.1
3.8625,0.735,-0.735,6.7924999999999995,2.255,-2.255,LOSVD,0.0581,Abell 2415,WO10.1
1.68,1.344,-1.344,9.28,7.4239999999999995,-7.4239999999999995,CM,0.0582,Abell 2399,RI06.1
1.42,1.136,-1.136,5.04,4.032,-4.032,CM,0.0585,Abell 2169,RI06.1
1.94,0.22,-0.22,7.56,0.45,-0.45,X-ray,0.0586,Abell 1991,PO05.1
1.94,0.11524752475247524,-0.11524752475247524,7.575,0.45,-0.45,X-ray,0.0586,Abell 1991,PR05.1
1.94,0.3,-0.3,8.35,0.58,-0.58,X-ray,0.0586,Abell 1991,VI06.1
39.64,4.34,-4.34,11.0525,1.085,-1.085,X-ray,0.0594,Abell 3266,BA14.1
13.23,2.1500000000000004,-2.1500000000000004,9.584999999999999,2.52,-2.52,LOSVD,0.0597,Abell 3158,WO10.1
35.557500000000005,4.005,-4.005,3.0325,1.1150000000000002,-1.1150000000000002,X-ray,0.0597,Abell 3158,BA14.1
17.05,6.5,-6.5,7.25,5.0,-5.0,LOSVD,0.0597,Abell 3158,LO06.1
7.33,5.864000000000001,-5.864000000000001,13.06,10.448,-10.448,CM,0.0606,Abell 602,RI06.1
2.2975,0.5349999999999999,-0.5349999999999999,2.9250000000000003,1.1,-1.1,LOSVD,0.0623,Abell 3809,WO10.1
4.045,1.11,-1.11,2.4625000000000004,0.885,-0.885,LOSVD,0.0625,Abell 2734,WO10.1
0.94,0.752,-0.752,3.76,3.008,-3.008,CM,0.063,RXCJ1351.7+4622,RI06.1
8.0725,1.165,-1.165,8.5825,2.415,-2.415,LOSVD,0.063,Abell 1795,WO10.1
23.885,2.6799999999999997,-2.6799999999999997,5.86,0.96,-0.96,X-ray,0.063,Abell 1795,BA14.1
9.82,2.53,-2.53,5.942500000000001,1.0350000000000001,-1.0350000000000001,X-ray,0.063,Abell 1795,SC07.1
61.35000000000001,40.7,-40.7,5.4525,2.965,-2.965,X-ray,0.063,Abell 1795,VO06.1
10.1,1.01,-1.01,6.32,0.33,-0.33,X-ray,0.063,Abell 1795,VI06.1
0.2475,0.022,-0.022,4.59,0.52,-0.52,X-ray,0.0635,RXC J0216.7-4749,DE10.1
4.46,0.973090909090909,-0.973090909090909,5.5,1.2,-1.2,LOSVD,0.0648,Abell 1436,AB11.1
1.5,1.2000000000000002,-1.2000000000000002,2.71,2.168,-2.168,CM,0.0648,Abell 1436,RI06.1
15.09,1.51,-1.51,14.879999999999999,3.69,-3.69,X-ray,0.065,Abell 2124,BA14.1
9.42,7.5360000000000005,-7.5360000000000005,14.05,11.240000000000002,-11.240000000000002,CM,0.065,Abell 2124,RI06.1
